Name,University,Location,Year of Establishment,Management,Course,Duration,Fees,Explore Link
Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College of Technology & Management,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Computer Science,4.00 years,₹35000.00,"https://www.careerguide.com/indian-colleges/anakapalle-merchants-association-konathala-subrahmanyam-&-immidisetty-kanaka-raju-college-of-technology-&-management,-andhra-pradesh"
Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College of Technology & Management,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Electrical Engineering,4.00 years,₹35000.00,"https://www.careerguide.com/indian-colleges/anakapalle-merchants-association-konathala-subrahmanyam-&-immidisetty-kanaka-raju-college-of-technology-&-management,-andhra-pradesh"
Anakapalle Merchants Association Konathala Subrahmanyam & Immidisetty Kanaka Raju College of Technology & Management,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Electronics Engineering,4.00 years,₹35000.00,"https://www.careerguide.com/indian-colleges/anakapalle-merchants-association-konathala-subrahmanyam-&-immidisetty-kanaka-raju-college-of-technology-&-management,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Civil Engineering,4.00 years,₹60000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Computer Science and Engineering,4.00 years,₹62000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Electrical and Electronics Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Electronics and Communication Engineering,4.00 years,₹63000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
Dr. Lankapalli Bullayya College of Engineering,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,Private Un-Aided,B.Tech Mechanical Engineering,4.00 years,₹64000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college-of-engineering,-andhra-pradesh"
College of Engineering for Women,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2010,State Government,B.Tech.,4.00 years,₹87498.00,"https://www.careerguide.com/indian-colleges/college-of-engineering-for-women,-andhra-pradesh"
Andhra University College of Engineering(A),AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1955,State Government,B.Tech,4.00 years,₹100000.00,"https://www.careerguide.com/indian-colleges/andhra-university-college-of-engineering(a),-andhra-pradesh"
Gayatri Vidya Parishad College for Degree & PG courses (A),AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1989,Private Un-Aided,B.Tech,4.00 years,₹277200.00,"https://www.careerguide.com/indian-colleges/gayatri-vidya-parishad-college-for-degree-&-pg-courses-(a),-andhra-pradesh"
College of Science & Technology,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1926,University,B.Tech,4.00 years,₹990000.00,"https://www.careerguide.com/indian-colleges/college-of-science-&-technology,-andhra-pradesh"
Karunya College of Education,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2004,Private Un-Aided,B.Tech,4.00 years,₹480000.00,"https://www.careerguide.com/indian-colleges/karunya-college-of-education,-andhra-pradesh"
Anil Neerukonda Institute Of Technology & Sciences,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2001,Private Un-Aided,B.Tech,4.00 years,₹59950.00,"https://www.careerguide.com/indian-colleges/anil-neerukonda-institute-of-technology-&-sciences,-andhra-pradesh"
Dr. Lankapalli Bullayya College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1973,Private Un-Aided,B.Tech Civil Engineering,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college,-andhra-pradesh"
Dr. Lankapalli Bullayya College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1973,Private Un-Aided,B.Tech Computer Science,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college,-andhra-pradesh"
Dr. Lankapalli Bullayya College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1973,Private Un-Aided,B.Tech ECE,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college,-andhra-pradesh"
Dr. Lankapalli Bullayya College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1973,Private Un-Aided,B.Tech EEE,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/dr.-lankapalli-bullayya-college,-andhra-pradesh"
Sanketika Vidya Parishad Engineering College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2003,Private Un-Aided,B.Tech,4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/sanketika-vidya-parishad-engineering-college,-andhra-pradesh"
Sanketika Vidya Parishad Engineering College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",2003,Private Un-Aided,B.Tech (CSE),4.00 years,₹43000.00,"https://www.careerguide.com/indian-colleges/sanketika-vidya-parishad-engineering-college,-andhra-pradesh"
Pydah College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1991,Private Un-Aided,B.Tech in Computer Science Engineering,4.00 years,₹65000.00,"https://www.careerguide.com/indian-colleges/pydah-college,-andhra-pradesh"
Pydah College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1991,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹65000.00,"https://www.careerguide.com/indian-colleges/pydah-college,-andhra-pradesh"
Pydah College,AndhraUniversity,"Andhra Pradesh, Visakhapatanam",1991,Private Un-Aided,B.Tech in Civil Engineering,4.00 years,₹65000.00,"https://www.careerguide.com/indian-colleges/pydah-college,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Computer Science Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Mechanical Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Electronics and Communication Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Electrical and Electronics Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
Raghu Institute Of Technology,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY GURAJADA VIZIANAGARAMUniversity,"Andhra Pradesh, Visakhapatanam",2007,Private Un-Aided,B.Tech in Civil Engineering,4.00 years,₹61000.00,"https://www.careerguide.com/indian-colleges/raghu-institute-of-technology,-andhra-pradesh"
